BurnBlock,Area,Starts,Prob
1416,1068,1,0.000613497
1417,2819,0,0
1418,3548,1,0.000613497
1419,2247,1,0.000613497
1420,1262,0,0
1421,895,0,0
1422,653,0,0
1423,757,0,0
1424,1529,0,0
1425,621,4,0.002453988
1426,745,0,0
1427,747,0,0
1428,380,1,0.000613497
1429,620,0,0
1430,558,0,0
1431,503,0,0
1432,2224,0,0
1433,571,0,0
1434,1058,0,0
1435,1890,1,0.000613497
1436,1104,0,0
1437,2971,0,0
1438,1126,0,0
1439,1261,0,0
1440,596,0,0
1441,1514,0,0
1442,718,0,0
1443,1743,0,0
1444,1400,0,0
1445,692,1,0.000613497
1446,938,0,0
1447,942,1,0.000613497
1448,765,0,0
1449,1582,0,0
1450,998,0,0
1451,834,1,0.000613497
1452,2074,0,0
1453,762,2,0.001226994
1454,1678,0,0
1455,1005,0,0
1456,1634,0,0
1457,1099,0,0
1458,1024,0,0
1459,456,0,0
1460,571,0,0
1461,1350,1,0.000613497
1462,1071,0,0
1463,1051,0,0
1464,1153,0,0
1465,2037,0,0
1466,1203,0,0
1467,1496,0,0
1468,1590,0,0
1469,859,0,0
1470,1283,0,0
1471,644,0,0
1472,6414,0,0
1473,4064,4,0.002453988
1474,1849,1,0.000613497
1475,610,0,0
1476,1096,0,0
1477,2354,0,0
1478,543,0,0
1479,1081,0,0
1480,794,1,0.000613497
1481,1081,0,0
1482,3625,1,0.000613497
1483,1521,0,0
1484,350,0,0
1485,998,0,0
1486,1405,0,0
1487,1258,0,0
1488,1774,2,0.001226994
1489,751,1,0.000613497
1490,345,1,0.000613497
1491,1291,0,0
1492,1241,1,0.000613497
1493,1056,0,0
1494,1898,0,0
1495,590,0,0
1496,1153,0,0
1497,1003,0,0
1498,773,0,0
1499,1112,1,0.000613497
1500,432,1,0.000613497
1501,1905,2,0.001226994
1502,5637,1,0.000613497
1503,526,0,0
1504,4512,2,0.001226994
1505,7119,1,0.000613497
1506,3879,1,0.000613497
1507,682,0,0
1508,3387,2,0.001226994
1510,1026,0,0
1511,13197,24,0.014723926
1512,1726,0,0
1513,4681,4,0.002453988
1514,1766,1,0.000613497
1515,856,1,0.000613497
1516,658,0,0
1517,1430,0,0
1518,1294,0,0
1519,520,1,0.000613497
1520,1674,0,0
1521,893,4,0.002453988
1522,1691,1,0.000613497
1523,725,0,0
1524,1802,0,0
1525,4019,1,0.000613497
1526,988,3,0.001840491
1527,5271,1,0.000613497
1528,741,0,0
1529,2503,0,0
1530,3480,0,0
1531,3091,0,0
1532,3158,0,0
1533,3986,0,0
1534,4644,2,0.001226994
1535,1271,0,0
1536,2612,1,0.000613497
1537,842,0,0
1538,570,0,0
1539,1338,1,0.000613497
1540,915,2,0.001226994
1541,1010,0,0
1542,1900,2,0.001226994
1543,2709,1,0.000613497
1544,5234,4,0.002453988
1545,1238,1,0.000613497
1546,1035,0,0
1547,1060,0,0
1548,3453,0,0
1549,1060,0,0
1550,1480,0,0
1551,1643,0,0
1552,818,0,0
1553,3783,6,0.003680982
1554,2272,3,0.001840491
1555,307,1,0.000613497
1556,856,0,0
1557,1085,1,0.000613497
1558,1132,0,0
1559,2968,1,0.000613497
1560,6950,27,0.016564417
1561,1034,0,0
1562,396,0,0
1563,1581,0,0
1564,2465,7,0.004294479
1565,783,0,0
1566,681,1,0.000613497
1567,1200,7,0.004294479
1568,1350,3,0.001840491
1569,728,0,0
1570,8811,0,0
1571,2985,1,0.000613497
1572,2032,1,0.000613497
1573,1672,4,0.002453988
1574,1415,0,0
1575,2242,0,0
1576,6035,0,0
1577,4019,5,0.003067485
1578,6789,3,0.001840491
1579,5260,1,0.000613497
1580,5396,1,0.000613497
1581,1190,0,0
1582,3420,0,0
1583,1793,0,0
1584,1074,0,0
1585,1004,0,0
1586,875,0,0
1587,543,0,0
1588,1382,0,0
1589,455,0,0
1590,1268,0,0
1591,2078,1,0.000613497
1592,1023,0,0
1593,1356,0,0
1594,1160,1,0.000613497
1595,8138,1,0.000613497
1596,4106,0,0
1597,2914,3,0.001840491
1598,426,1,0.000613497
1599,2563,0,0
1600,13395,2,0.001226994
1601,4355,0,0
1602,767,0,0
1603,1399,0,0
1604,4819,0,0
1605,3559,1,0.000613497
1606,728,0,0
1607,3008,1,0.000613497
