pre,post_1,post_2,start,end,,
1015304,1011305,-1,41,60,,
1015401,1015402,-1,0,10,,
1015402,1015403,-1,11,20,,
1015403,1015404,-1,21,40,,
1015404,1031405,1051405,41,60,,
1016101,1016102,-1,0,10,,
1016102,1011103,-1,11,20,,
1016103,1016104,-1,21,40,,
1016104,1011105,-1,41,60,,
1016201,1016202,-1,0,10,,
1016202,1016203,-1,11,20,,
1016203,1016204,-1,21,40,,
1016204,1011205,-1,41,60,,
1016301,1016302,-1,0,10,,
1016302,1016303,-1,11,20,,
1016303,1016304,-1,21,40,,
1016304,1011305,-1,41,60,,
1016401,1016402,-1,0,10,,
1016402,1016403,-1,11,20,,
1016403,1016404,-1,21,40,,
1016404,1031405,-1,41,60,,
1017101,1017102,-1,0,10,,
1017102,1011103,-1,11,20,,
1017103,1017104,-1,21,40,,
1017104,1011105,-1,41,60,,
1017201,1017202,-1,0,10,,
1017202,1011203,-1,11,20,,
1017203,1017204,-1,21,40,,
1017204,1011205,-1,41,60,,
1017301,1017302,-1,0,10,,
1017302,1017303,-1,11,20,,
1017303,1017304,-1,21,40,,
1017304,1011305,-1,41,60,,
1017401,1017402,-1,0,10,,
1017402,1017403,-1,11,20,,
1017403,1017404,-1,21,40,,
1017404,1031405,1051405,41,60,,
1018101,1018102,-1,0,10,,
1018102,1011103,-1,11,20,,
1018103,1018104,-1,21,40,,
1018104,1011105,-1,41,60,,
1018201,1018202,-1,0,10,,
1018202,1011203,-1,11,20,,
1018203,1018204,-1,21,40,,
1018204,1011205,-1,41,60,,
1018301,1018302,-1,0,10,,
1018302,1018303,-1,11,20,,
1018303,1018304,-1,21,40,,
1018304,1011305,-1,41,60,,
1018401,1018402,-1,0,10,,
1018402,1018403,-1,11,20,,
1018403,1018404,-1,21,40,,
1018404,1031405,1051405,41,60,,
1031401,1031402,-1,0,10,,
1031402,1031403,-1,11,20,,
1031403,1031404,-1,21,40,,
1031404,1031405,-1,41,60,,
1031405,1031406,-1,61,100,,
1031406,-1,-1,101,999999999,,
1032101,1032102,-1,0,10,,
1032102,1032103,-1,11,20,,
1032103,1032104,-1,21,40,,
1032104,1032105,-1,41,60,,
1032105,1032106,-1,61,100,,
1032106,-1,-1,101,999999999,,
1032201,1032202,-1,0,10,,
1032202,1032203,-1,11,20,,
1032203,1032204,-1,21,40,,
1032204,1032205,-1,41,60,,
1032205,1032206,-1,61,100,,
1032206,-1,-1,101,999999999,,
1032301,1032302,-1,0,10,,
1032302,1032303,-1,11,20,,
1032303,1032304,-1,21,40,,
1032304,1032305,-1,41,60,,
1032305,1032306,-1,61,100,,
1032306,-1,-1,101,999999999,,
1032401,1032402,-1,0,10,,
1032402,1032403,-1,11,20,,
1032403,1032404,-1,21,40,,
1032404,1032405,-1,41,60,,
1032405,1032406,-1,61,100,,
1032406,-1,-1,101,999999999,,
1033101,1033102,-1,0,10,,
1033102,1033103,-1,11,20,,
1033103,1033104,-1,21,40,,
1033104,1033105,-1,41,60,,
1033105,1033106,-1,61,100,,
1033106,-1,-1,101,999999999,,
1033201,1033202,-1,0,10,,
1033202,1033203,-1,11,20,,
1033203,1033204,-1,21,40,,
1033204,1033205,-1,41,60,,
1033205,1033206,-1,61,100,,
1033206,-1,-1,101,999999999,,
1033301,1033302,-1,0,10,,
1033302,1033303,-1,11,20,,
1033303,1033304,-1,21,40,,
1033304,1033305,-1,41,60,,
1033305,1033306,-1,61,100,,
1033306,-1,-1,101,999999999,,
1033401,1033402,-1,0,10,,
1033402,1033403,-1,11,20,,
1033403,1033404,-1,21,40,,
1033404,1033405,-1,41,60,,
1033405,1033406,-1,61,100,,
1033406,-1,-1,101,999999999,,
1034101,1034102,-1,0,10,,
1034102,1034103,-1,11,20,,
1034103,1034104,-1,21,40,,
1034104,1034105,-1,41,60,,
1034105,1034106,-1,61,100,,
1034106,-1,-1,101,999999999,,
1034201,1034202,-1,0,10,,
1034202,1034203,-1,11,20,,
1034203,1034204,-1,21,40,,
1034204,1034205,-1,41,60,,
1034205,1034206,-1,61,100,,
1034206,-1,-1,101,999999999,,
1034301,1034302,-1,0,10,,
1034302,1034303,-1,11,20,,
1034303,1034304,-1,21,40,,
1034304,1034305,-1,41,60,,
1034305,1034306,-1,61,100,,
1034306,-1,-1,101,999999999,,
1034401,1034402,-1,0,10,,
1034402,1034403,-1,11,20,,
1034403,1034404,-1,21,40,,
1034404,1034405,-1,41,60,,
1034405,1034406,-1,61,100,,
1034406,-1,-1,101,999999999,,
1051401,1051402,-1,0,10,,
1051402,1051403,-1,11,20,,
1051403,1051404,-1,21,40,,
1051404,1051405,-1,41,60,,
1051405,1051406,-1,61,100,,
1051406,-1,-1,101,999999999,,
1052101,1052102,-1,0,10,,
1052102,1052103,-1,11,20,,
1052103,1052104,-1,21,40,,
1052104,1052105,-1,41,60,,
1052105,1052106,-1,61,100,,
1052106,-1,-1,101,999999999,,
1052201,1052202,-1,0,10,,
1052202,1052203,-1,11,20,,
1052203,1052204,-1,21,40,,
1052204,1052205,-1,41,60,,
1052205,1052206,-1,61,100,,
1052206,-1,-1,101,999999999,,
1052301,1052302,-1,0,10,,
1052302,1052303,-1,11,20,,
1052303,1052304,-1,21,40,,
1052304,1052305,-1,41,60,,
1052305,1052306,-1,61,100,,
1052306,-1,-1,101,999999999,,
1052401,1052402,-1,0,10,,
1052402,1052403,-1,11,20,,
1052403,1052404,-1,21,40,,
1052404,1052405,-1,41,60,,
1052405,1052406,-1,61,100,,
1052406,-1,-1,101,999999999,,
1053101,1053102,-1,0,10,,
1053102,1053103,-1,11,20,,
1053103,1053104,-1,21,40,,
1053104,1053105,-1,41,60,,
1053105,1053106,-1,61,100,,
1053106,-1,-1,101,999999999,,
1053201,1053202,-1,0,10,,
1053202,1053203,-1,11,20,,
1053203,1053204,-1,21,40,,
1053204,1053205,-1,41,60,,
1053205,1053206,-1,61,100,,
1053206,-1,-1,101,999999999,,
1053301,1053302,-1,0,10,,
1053302,1053303,-1,11,20,,
1053303,1053304,-1,21,40,,
1053304,1053305,-1,41,60,,
1053305,1053306,-1,61,100,,
1053306,-1,-1,101,999999999,,
1053401,1053402,-1,0,10,,
1053402,1053403,-1,11,20,,
1053403,1053404,-1,21,40,,
1053404,1053405,-1,41,60,,
1053405,1053406,-1,61,100,,
1053406,-1,-1,101,999999999,,
1054101,1054102,-1,0,10,,
1054102,1054103,-1,11,20,,
1054103,1054104,-1,21,40,,
