BurnBlock,Area,BANSA,CCA,NotCCA,MIST,NS,RS,TestArea
1218,545,2,2,1,1,1,1,1
1219,715,2,2,1,1,1,1,1
1220,1103,1,2,1,1,1,2,1
1221,2929,2,2,1,1,1,1,1
1222,2267,1,2,1,1,1,1,1
1223,1949,1,2,1,1,1,1,1
1224,1444,1,2,1,1,1,1,1
1225,1851,1,2,1,1,1,1,1
1226,1074,1,2,1,1,1,1,1
1227,2696,1,2,1,1,1,1,1
1228,1022,1,2,1,1,1,1,1
1229,760,2,2,1,1,1,1,1
1230,1084,1,2,1,1,1,2,1
1231,1471,2,2,1,1,1,1,1
1232,1219,1,2,1,1,1,2,1
1233,1655,2,2,1,1,1,1,1
1234,420,2,2,1,1,1,1,1
1235,1133,1,2,1,1,1,1,1
1236,903,1,2,1,1,1,1,1
1237,814,2,2,1,1,1,1,1
1238,1091,1,1,2,1,1,1,1
1239,1300,1,1,2,1,1,1,1
1240,1446,1,1,2,1,1,1,1
1241,793,1,1,2,1,1,1,1
1242,683,1,2,1,1,1,1,1
1243,2152,1,2,1,1,1,1,1
1244,1178,1,2,1,1,1,1,1
1245,3439,1,2,1,1,1,1,1
1246,1052,1,2,1,1,1,1,1
1247,573,1,2,1,1,1,1,1
1248,720,1,2,1,1,1,1,1
1249,1481,1,2,1,1,1,1,1
1250,680,1,2,1,1,1,1,1
1251,1623,2,2,1,1,1,1,1
1252,1323,1,2,1,1,1,2,1
1253,1420,1,2,1,1,1,1,1
1254,1439,1,2,1,1,1,2,1
1255,980,1,2,1,1,1,1,1
1256,682,1,2,1,1,1,1,1
1257,1337,1,2,1,1,1,1,1
1258,1006,1,2,1,1,1,1,1
1259,2452,1,2,1,1,1,1,1
1260,877,1,2,1,1,1,1,1
1261,925,1,2,1,1,1,1,1
1262,660,1,2,1,1,1,1,1
1263,1354,1,2,1,1,1,1,1
1264,1079,1,2,1,1,1,1,1
1265,388,1,2,1,1,1,1,1
1266,549,1,2,1,1,1,1,1
1267,682,1,2,1,1,1,1,1
1268,804,1,2,1,1,1,1,1
1269,1023,1,2,1,1,1,1,1
1270,540,1,1,2,1,1,1,1
1271,1106,1,2,1,1,1,1,1
1272,447,1,2,1,1,1,1,1
1273,2040,1,2,1,1,1,1,1
1274,600,1,2,1,1,1,1,1
1275,1648,1,1,2,2,1,1,2
1276,1145,1,2,1,1,1,1,1
1277,807,1,2,1,1,1,1,1
1278,1415,1,2,1,1,1,1,1
1279,414,1,2,1,1,1,1,1
1280,1008,1,2,1,1,1,1,1
1281,1001,1,2,1,1,1,1,1
1282,587,1,2,1,1,1,1,1
1283,891,1,2,1,1,1,1,1
1284,540,1,2,1,1,1,1,1
1285,417,1,2,1,1,1,1,1
1286,1076,1,2,1,1,1,1,1
1287,1030,1,2,1,1,1,1,1
1288,511,1,2,1,1,1,1,1
1289,976,1,2,1,1,1,1,1
1290,1992,1,2,1,1,1,1,1
1291,1439,1,2,1,1,1,1,1
1292,802,1,2,1,1,1,1,1
1293,580,1,2,1,1,1,1,1
1294,1679,1,2,1,1,1,1,1
1295,823,1,2,1,1,1,1,1
1296,750,1,2,1,1,1,1,1
1297,677,1,2,1,1,1,1,1
1298,1013,1,2,1,1,1,1,1
1299,2549,1,2,1,1,1,1,1
1300,344,1,1,2,1,1,1,1
1301,603,1,2,1,1,1,1,1
1302,3721,1,2,1,1,1,1,1
1303,1498,1,2,1,1,1,1,1
1304,1187,1,2,1,1,1,1,1
1305,1157,1,2,1,1,1,1,1
1306,544,1,2,1,1,1,1,1
1307,868,1,2,1,1,1,1,1
1308,772,1,2,1,1,1,1,1
1309,832,1,2,1,1,1,2,1
1310,557,1,2,1,1,1,2,1
1311,790,1,2,1,1,1,1,1
1312,3127,1,2,1,1,1,1,1
1313,910,1,2,1,1,1,2,1
1314,341,1,2,1,1,1,2,1
1315,2312,1,2,1,1,1,1,1
1316,2407,1,2,1,1,1,1,1
1317,680,1,2,1,1,1,1,1
1318,1640,1,2,1,1,1,1,1
1319,1164,1,2,1,1,1,1,1
1320,1391,1,2,1,1,1,1,1
